pair_idx,layer,neuron,contribution_delta,malicious_contribution,benign_contribution
61,2,3666,0.0005344720557332039,0.0015504257753491402,0.0010159537196159363
61,2,11898,0.000532323494553566,0.0011406932026147842,0.0006083697080612183
61,2,5503,0.0005245682550594211,2.7782603865489364e-05,-0.0004967856220901012
61,2,4313,-0.002508779987692833,-0.006705109030008316,-0.004196329042315483
61,2,7332,-0.0012096762657165527,-0.0025760605931282043,-0.0013663843274116516
61,2,6219,-0.0010216501541435719,-0.001179221086204052,-0.00015757093206048012
61,2,3265,-0.0010029706172645092,-0.001575106754899025,-0.0005721361376345158
61,2,1104,-0.000984866637736559,-0.001127198338508606,-0.00014233170077204704
61,2,4072,-0.0008244160562753677,-0.0013429303653538227,-0.000518514309078455
61,2,1655,-0.0007320544682443142,-0.0015971018001437187,-0.0008650473318994045
61,2,86,-0.0006910040974617004,0.0012463666498661041,0.0019373707473278046
61,2,94,-0.00064057856798172,-0.0010841265320777893,-0.00044354796409606934
61,2,1061,-0.0006297752261161804,-0.0017315447330474854,-0.001101769506931305
61,2,2642,-0.00061776302754879,-0.0034160539507865906,-0.0027982909232378006
61,2,12528,-0.0005998383276164532,-0.0010466314852237701,-0.00044679315760731697
61,2,11871,-0.0005803527310490608,-0.0004153400659561157,0.0001650126650929451
61,2,2971,-0.0005741111235693097,-0.00051908940076828,5.502172280102968e-05
61,2,8513,-0.0005729882977902889,-0.00020218966528773308,0.00037079863250255585
61,2,13135,-0.0005300065968185663,-0.0002661847975105047,0.0002638217993080616
61,2,10007,-0.0005279938923195004,-0.0006792903877794743,-0.0001512964954599738
61,2,7919,-0.0005003856495022774,-0.0005877017974853516,-8.731614798307419e-05
61,2,12894,-0.0004963141400367022,-0.00043165916576981544,6.465494516305625e-05
61,2,13672,-0.0004913946613669395,-0.0006923740729689598,-0.00020097941160202026
61,3,13551,0.0020377635955810547,0.0060427188873291016,0.004004955291748047
61,3,9480,0.0019052177667617798,0.0026830360293388367,0.0007778182625770569
61,3,9171,0.0016039907932281494,0.013056784868240356,0.011452794075012207
61,3,11523,0.0012858831323683262,0.0020153112709522247,0.0007294281385838985
61,3,3813,0.0011890535242855549,0.00035478314384818077,-0.0008342703804373741
61,3,12874,0.0011684931814670563,0.0019017979502677917,0.0007333047688007355
61,3,6056,0.0010502873919904232,0.0018609026446938515,0.0008106152527034283
61,3,4272,0.0010379813611507416,-0.0006607230752706528,-0.0016987044364213943
61,3,8982,0.00099900271743536,-0.001309276558458805,-0.002308279275894165
61,3,11069,0.0008825185941532254,0.0010099727660417557,0.00012745417188853025
61,3,3664,0.0008518502581864595,0.0015390305779874325,0.0006871803198009729
61,3,8315,0.0008357647457160056,0.0008405037224292755,4.738983989227563e-06
61,3,3472,0.0007774392142891884,-0.0004833759739995003,-0.0012608151882886887
61,3,7517,0.0007695084786973894,0.0008299900218844414,6.048154318705201e-05
61,3,4326,0.000759877497330308,-0.0007873999420553446,-0.0015472774393856525
61,3,5961,0.0007546814158558846,0.0012467997148633003,0.0004921182990074158
61,3,7870,0.0007229847833514214,0.0010845698416233063,0.0003615850582718849
61,3,2216,0.0007128797005861998,0.0008829622529447079,0.0001700825523585081
