layer,component,base_logit_diff,ablated_logit_diff,delta_logit_diff,effect_pct,pair_idx,pair_indicator,benign_filename,malicious_filename,flip_to_benign
22,mlp,3.2890625,3.3359375,0.046875,1.4251781472684086,3,DownloadString,1113.ps1,450.ps1,False
29,attn,3.2890625,3.3359375,0.046875,1.4251781472684086,3,DownloadString,1113.ps1,450.ps1,False
14,mlp,3.2890625,3.4921875,0.203125,6.175771971496437,3,DownloadString,1113.ps1,450.ps1,False
28,attn,3.2890625,3.625,0.3359375,10.21377672209026,3,DownloadString,1113.ps1,450.ps1,False
25,mlp,3.2890625,3.625,0.3359375,10.21377672209026,3,DownloadString,1113.ps1,450.ps1,False
18,attn,3.2890625,3.640625,0.3515625,10.688836104513063,3,DownloadString,1113.ps1,450.ps1,False
16,attn,3.2890625,3.6875,0.3984375,12.114014251781473,3,DownloadString,1113.ps1,450.ps1,False
2,attn,3.2890625,3.6875,0.3984375,12.114014251781473,3,DownloadString,1113.ps1,450.ps1,False
20,mlp,3.2890625,3.7109375,0.421875,12.826603325415679,3,DownloadString,1113.ps1,450.ps1,False
20,attn,3.2890625,3.78125,0.4921875,14.964370546318289,3,DownloadString,1113.ps1,450.ps1,False
28,mlp,3.2890625,3.8046875,0.515625,15.676959619952493,3,DownloadString,1113.ps1,450.ps1,False
26,attn,3.2890625,3.8984375,0.609375,18.52731591448931,3,DownloadString,1113.ps1,450.ps1,False
22,attn,3.2890625,3.9375,0.6484375,19.71496437054632,3,DownloadString,1113.ps1,450.ps1,False
10,mlp,3.2890625,4.1015625,0.8125,24.70308788598575,3,DownloadString,1113.ps1,450.ps1,False
27,mlp,3.2890625,4.34375,1.0546875,32.066508313539195,3,DownloadString,1113.ps1,450.ps1,False
18,mlp,3.2890625,4.390625,1.1015625,33.4916864608076,3,DownloadString,1113.ps1,450.ps1,False
5,attn,3.2890625,4.84375,1.5546875,47.26840855106889,3,DownloadString,1113.ps1,450.ps1,False
31,mlp,3.2890625,4.8515625,1.5625,47.50593824228028,3,DownloadString,1113.ps1,450.ps1,False
11,mlp,3.2890625,5.0859375,1.796875,54.63182897862233,3,DownloadString,1113.ps1,450.ps1,False
25,attn,3.2890625,5.1328125,1.84375,56.057007125890735,3,DownloadString,1113.ps1,450.ps1,False
8,mlp,1.5078125,-0.375,-1.8828125,-124.87046632124353,4,FromBase64String,1238.ps1,3537.ps1,True
30,mlp,1.5078125,-0.34375,-1.8515625,-122.79792746113989,4,FromBase64String,1238.ps1,3537.ps1,True
24,attn,1.5078125,-0.046875,-1.5546875,-103.10880829015545,4,FromBase64String,1238.ps1,3537.ps1,True
0,attn,1.5078125,0.00390625,-1.50390625,-99.74093264248705,4,FromBase64String,1238.ps1,3537.ps1,False
7,mlp,1.5078125,0.2421875,-1.265625,-83.93782383419689,4,FromBase64String,1238.ps1,3537.ps1,False
9,mlp,1.5078125,0.625,-0.8828125,-58.549222797927456,4,FromBase64String,1238.ps1,3537.ps1,False
6,attn,1.5078125,1.015625,-0.4921875,-32.64248704663213,4,FromBase64String,1238.ps1,3537.ps1,False
16,mlp,1.5078125,1.015625,-0.4921875,-32.64248704663213,4,FromBase64String,1238.ps1,3537.ps1,False
24,mlp,1.5078125,1.015625,-0.4921875,-32.64248704663213,4,FromBase64String,1238.ps1,3537.ps1,False
21,mlp,1.5078125,1.0546875,-0.453125,-30.05181347150259,4,FromBase64String,1238.ps1,3537.ps1,False
31,attn,1.5078125,1.125,-0.3828125,-25.38860103626943,4,FromBase64String,1238.ps1,3537.ps1,False
0,mlp,1.5078125,1.14453125,-0.36328125,-24.093264248704664,4,FromBase64String,1238.ps1,3537.ps1,False
15,attn,1.5078125,1.234375,-0.2734375,-18.134715025906736,4,FromBase64String,1238.ps1,3537.ps1,False
11,attn,1.5078125,1.2734375,-0.234375,-15.544041450777202,4,FromBase64String,1238.ps1,3537.ps1,False
21,attn,1.5078125,1.296875,-0.2109375,-13.989637305699482,4,FromBase64String,1238.ps1,3537.ps1,False
9,attn,1.5078125,1.3046875,-0.203125,-13.471502590673575,4,FromBase64String,1238.ps1,3537.ps1,False
19,attn,1.5078125,1.3046875,-0.203125,-13.471502590673575,4,FromBase64String,1238.ps1,3537.ps1,False
19,mlp,1.5078125,1.3203125,-0.1875,-12.435233160621761,4,FromBase64String,1238.ps1,3537.ps1,False
27,attn,1.5078125,1.40625,-0.1015625,-6.7357512953367875,4,FromBase64String,1238.ps1,3537.ps1,False
26,mlp,1.5078125,1.4140625,-0.09375,-6.217616580310881,4,FromBase64String,1238.ps1,3537.ps1,False
13,attn,1.5078125,1.4375,-0.0703125,-4.66321243523316,4,FromBase64String,1238.ps1,3537.ps1,False
18,attn,1.5078125,1.4453125,-0.0625,-4.145077720207254,4,FromBase64String,1238.ps1,3537.ps1,False
17,attn,1.5078125,1.46875,-0.0390625,-2.5906735751295336,4,FromBase64String,1238.ps1,3537.ps1,False
7,attn,1.5078125,1.484375,-0.0234375,-1.5544041450777202,4,FromBase64String,1238.ps1,3537.ps1,False
22,mlp,1.5078125,1.515625,0.0078125,0.5181347150259068,4,FromBase64String,1238.ps1,3537.ps1,False
12,mlp,1.5078125,1.5234375,0.015625,1.0362694300518136,4,FromBase64String,1238.ps1,3537.ps1,False
23,attn,1.5078125,1.5625,0.0546875,3.6269430051813467,4,FromBase64String,1238.ps1,3537.ps1,False
20,attn,1.5078125,1.5703125,0.0625,4.145077720207254,4,FromBase64String,1238.ps1,3537.ps1,False
29,attn,1.5078125,1.59375,0.0859375,5.699481865284974,4,FromBase64String,1238.ps1,3537.ps1,False
10,mlp,1.5078125,1.6171875,0.109375,7.253886010362693,4,FromBase64String,1238.ps1,3537.ps1,False
17,mlp,1.5078125,1.625,0.1171875,7.772020725388601,4,FromBase64String,1238.ps1,3537.ps1,False
15,mlp,1.5078125,1.625,0.1171875,7.772020725388601,4,FromBase64String,1238.ps1,3537.ps1,False
20,mlp,1.5078125,1.625,0.1171875,7.772020725388601,4,FromBase64String,1238.ps1,3537.ps1,False
27,mlp,1.5078125,1.625,0.1171875,7.772020725388601,4,FromBase64String,1238.ps1,3537.ps1,False
